Nº;DATE;TIME;FIELD;RACE;BOX;GREY;RTG
198;2024-11-03;07:05;albion-park;R6;6;ACE'S CHANCE;93
199;2024-11-03;07:05;albion-park;R6;7;JUST LOCO;84
200;2024-11-03;07:05;albion-park;R6;8;BILLIE CASH KID;
201;2024-11-03;07:05;albion-park;R6;9;LIVE STREAM;84
202;2024-11-03;07:05;albion-park;R6;10;GODDESS OF WAR;
203;2024-11-03;07:23;albion-park;R7;1;SHAZAM;100
204;2024-11-03;07:23;albion-park;R7;2;AVA'S BLUEY;85
205;2024-11-03;07:23;albion-park;R7;3;CLARETOWN SADIE;96
206;2024-11-03;07:23;albion-park;R7;4;ITCHY FEET;85
207;2024-11-03;07:23;albion-park;R7;5;ASTRO LEE;89
208;2024-11-03;07:23;albion-park;R7;6;LAST TO KNOW;88
209;2024-11-03;07:23;albion-park;R7;7;CHA CHA KITTY;84
210;2024-11-03;07:23;albion-park;R7;8;HERE'S HOWIE;
211;2024-11-03;07:23;albion-park;R7;9;LIVE STREAM;
212;2024-11-03;07:23;albion-park;R7;10;EASY AS THAT;87
213;2024-11-03;07:46;albion-park;R8;1;DOING FINE;100
214;2024-11-03;07:46;albion-park;R8;2;SHIMMERING LIGHT;99
215;2024-11-03;07:46;albion-park;R8;3;WALK ME DADDY;81
216;2024-11-03;07:46;albion-park;R8;4;ELECTRIC CHA CHA;88
217;2024-11-03;07:46;albion-park;R8;5;OUT THE BOTTLE;87
218;2024-11-03;07:46;albion-park;R8;6;CONDOLEZZA CLOUD;72
219;2024-11-03;07:46;albion-park;R8;7;MCNULTY;76
220;2024-11-03;07:46;albion-park;R8;8;OLSEN GANG;75
221;2024-11-03;07:46;albion-park;R8;9;GODDESS OF WAR;
222;2024-11-03;07:46;albion-park;R8;10;SLEEK CHARM;
223;2024-11-03;08:04;albion-park;R9;1;BISCUITS CLOUD;82
224;2024-11-03;08:04;albion-park;R9;2;DEVIL DON'T KNOW;84
225;2024-11-03;08:04;albion-park;R9;3;BYE BYE DORA;100
226;2024-11-03;08:04;albion-park;R9;4;LENNY LARGE;82
227;2024-11-03;08:04;albion-park;R9;5;HESTER RHODE;73
228;2024-11-03;08:04;albion-park;R9;6;MAID IN SPACE;95
229;2024-11-03;08:04;albion-park;R9;7;RIORSON BALE;87
230;2024-11-03;08:04;albion-park;R9;8;CLARETOWN MIKEY;71
231;2024-11-03;08:04;albion-park;R9;9;STRIKING MISS;
232;2024-11-03;08:04;albion-park;R9;10;GODDESS OF WAR;
233;2024-11-03;08:27;albion-park;R10;1;ARBELA;97
234;2024-11-03;08:27;albion-park;R10;2;SHAMROCK HAYZE;100
235;2024-11-03;08:27;albion-park;R10;3;ETERNAL WINTER;84
236;2024-11-03;08:27;albion-park;R10;4;BIG ZACH;80
237;2024-11-03;08:27;albion-park;R10;5;FEDERAL VIXEN;78
238;2024-11-03;08:27;albion-park;R10;6;GLENREAGH BURNER;89
239;2024-11-03;08:27;albion-park;R10;7;GRADUATION GIFT;76
240;2024-11-03;08:27;albion-park;R10;8;WISE KEVIN;95
241;2024-11-03;08:27;albion-park;R10;9;STRIKING MISS;
242;2024-11-03;08:27;albion-park;R10;10;SLEEK CHARM;
243;2024-11-03;08:42;albion-park;R11;1;MORE PEACHES;92
244;2024-11-03;08:42;albion-park;R11;2;BYE BYE DREAMER;78
245;2024-11-03;08:42;albion-park;R11;3;PERFECT SCORE;89
246;2024-11-03;08:42;albion-park;R11;4;ROYAL WARREN;100
247;2024-11-03;08:42;albion-park;R11;5;CLEOPATRA HAYZE;
248;2024-11-03;08:42;albion-park;R11;6;ARCTIC HAWK;77
249;2024-11-03;08:42;albion-park;R11;7;SLACK;95
250;2024-11-03;08:42;albion-park;R11;8;CASH HANDY;90
251;2024-11-03;08:42;albion-park;R11;9;STRIKING MISS;79
