Nº;DATE;TIME;FIELD;RACE;BOX;GREY;RTG
402;2024-11-10;23:47;healesville;R9;6;BE RUGGED;85
403;2024-11-10;23:47;healesville;R9;7;LUNA BEAUTY;86
404;2024-11-10;23:47;healesville;R9;8;RUNWAY;86
405;2024-11-10;00:07;healesville;R10;1;FIRST MATE;99
406;2024-11-10;00:07;healesville;R10;2;NORTHERN REGIE;100
407;2024-11-10;00:07;healesville;R10;3;WHY NOT EMILY;82
408;2024-11-10;00:07;healesville;R10;4;HAGIBIS;91
409;2024-11-10;00:07;healesville;R10;5;CHANGE;94
410;2024-11-10;00:07;healesville;R10;6;SPEEDY PAM;95
411;2024-11-10;00:07;healesville;R10;7;ISHMY BELLE;89
412;2024-11-10;00:07;healesville;R10;8;GARY KNEW IT;93
413;2024-11-10;00:22;healesville;R11;1;BROTHER YAP;
414;2024-11-10;00:22;healesville;R11;2;FOUR ACES;98
415;2024-11-10;00:22;healesville;R11;3;CONTRALTO;99
416;2024-11-10;00:22;healesville;R11;4;PERFECT REVENGE;99
417;2024-11-10;00:22;healesville;R11;5;CAILAH'S CREW;96
418;2024-11-10;00:22;healesville;R11;6;SWOOPING SWAN;100
419;2024-11-10;00:22;healesville;R11;7;BOROUGH PREMIERS;92
420;2024-11-10;00:22;healesville;R11;8;QUANTUM MASTER;90
421;2024-11-10;00:47;healesville;R12;1;HUDSON RIVER;98
422;2024-11-10;00:47;healesville;R12;2;JINGLE JANGLE;82
423;2024-11-10;00:47;healesville;R12;3;SOME STAR;86
424;2024-11-10;00:47;healesville;R12;4;WHITE SNOW;91
425;2024-11-10;00:47;healesville;R12;5;WHY NOT AJAY;92
426;2024-11-10;00:47;healesville;R12;6;COSMIC HOLIDAY;100
427;2024-11-10;00:47;healesville;R12;7;QUANTUM LEAP;82
428;2024-11-10;00:47;healesville;R12;8;REDEEMING LILLY;98
429;2024-11-10;05:07;launceston;R1;1;SASSY DANGER;97
430;2024-11-10;05:07;launceston;R1;2;CURRAJONG KING;98
431;2024-11-10;05:07;launceston;R1;3;BUCKLE UP RAE;93
432;2024-11-10;05:07;launceston;R1;4;AEROPLANE BERNIE;98
433;2024-11-10;05:07;launceston;R1;5;TEN FOLD;100
434;2024-11-10;05:07;launceston;R1;6;SPIRIT OF JAX;80
435;2024-11-10;05:07;launceston;R1;7;CANYA CHLOE;88
436;2024-11-10;05:07;launceston;R1;8;GINGER RUSH;92
437;2024-11-10;05:07;launceston;R1;9;WELLINGTON ROSES;
438;2024-11-10;05:07;launceston;R1;10;STICK SEASON;
439;2024-11-10;05:30;launceston;R2;1;IT'S A SCOTCH;95
440;2024-11-10;05:30;launceston;R2;2;SIN RAP UNLEASH;86
441;2024-11-10;05:30;launceston;R2;3;BURNIE ROSS;83
442;2024-11-10;05:30;launceston;R2;4;ENDLESS FUN;88
443;2024-11-10;05:30;launceston;R2;5;ASTON MAPLE;100
444;2024-11-10;05:30;launceston;R2;6;SILVER TIERS;77
445;2024-11-10;05:30;launceston;R2;7;BLACKPOOL FLY;99
446;2024-11-10;05:30;launceston;R2;8;HOT DIGGITY;80
447;2024-11-10;05:30;launceston;R2;9;JUST LIKE COMET;
448;2024-11-10;05:30;launceston;R2;10;NICKOLAS JOHN;
449;2024-11-10;05:52;launceston;R3;1;ONCE A DREAM;66
450;2024-11-10;05:52;launceston;R3;2;ETON;100
451;2024-11-10;05:52;launceston;R3;3;PRESCOT;86
452;2024-11-10;05:52;launceston;R3;4;WELLINGTON SALIX;89
453;2024-11-10;05:52;launceston;R3;5;DREAM ONCE;66
454;2024-11-10;05:52;launceston;R3;6;BEDALE;88
455;2024-11-10;05:52;launceston;R3;7;WELLINGTON DEALS;66
456;2024-11-10;05:52;launceston;R3;8;HESSLE;71
457;2024-11-10;05:52;launceston;R3;9;GIRL'S ONLY;
458;2024-11-10;06:14;launceston;R4;1;EVIE ELOISE;77
459;2024-11-10;06:14;launceston;R4;2;KING FENCER;82
460;2024-11-10;06:14;launceston;R4;3;MAHJONG NICKI;81
461;2024-11-10;06:14;launceston;R4;4;HARD STYLE LEON;100
462;2024-11-10;06:14;launceston;R4;5;TIDE WILL TURN;79
463;2024-11-10;06:14;launceston;R4;6;MISS DULCIE;70
464;2024-11-10;06:14;launceston;R4;7;COLT FORTY FIVE;90
465;2024-11-10;06:14;launceston;R4;8;BLACKPOOL BETTY;81
466;2024-11-10;06:14;launceston;R4;9;HONEY SCOTCH;
467;2024-11-10;06:14;launceston;R4;10;CHASING LADY;
468;2024-11-10;06:36;launceston;R5;1;SHARON'S SCOOTER;100
469;2024-11-10;06:36;launceston;R5;2;DELTA WHISKEY;90
470;2024-11-10;06:36;launceston;R5;3;SEIKA'S SHADOW;94
471;2024-11-10;06:36;launceston;R5;4;WRENCH;88
472;2024-11-10;06:36;launceston;R5;5;BLACKWOOD ECHO;75
473;2024-11-10;06:36;launceston;R5;6;MOTTON MILLIE;71
474;2024-11-10;06:36;launceston;R5;7;BUCKLE UP WYSTAN;87
475;2024-11-10;06:36;launceston;R5;8;SHE'S A DANCER;87
476;2024-11-10;06:36;launceston;R5;9;STAUNCH;
477;2024-11-10;06:36;launceston;R5;10;RAGING RAMBO;
478;2024-11-10;06:58;launceston;R6;1;BUCKLE UP TAJA;90
479;2024-11-10;06:58;launceston;R6;2;WHISKEY TYCOON;94
480;2024-11-10;06:58;launceston;R6;3;SPEEDY COMET;97
481;2024-11-10;06:58;launceston;R6;4;FRAYAH'S BAILEY;94
482;2024-11-10;06:58;launceston;R6;5;MOLLY POTION;100
483;2024-11-10;06:58;launceston;R6;6;FIRMLY FIXED;84
484;2024-11-10;06:58;launceston;R6;7;BUCKLE UP SHAVI;93
485;2024-11-10;06:58;launceston;R6;8;BUZZARD ZORRO;99
486;2024-11-10;06:58;launceston;R6;9;TAGLINE;
487;2024-11-10;06:58;launceston;R6;10;DELTA WHISKEY;
488;2024-11-10;07:23;launceston;R7;1;BUCKLE UP MAJEL;100
489;2024-11-10;07:23;launceston;R7;2;AIN'T WAITING;99
490;2024-11-10;07:23;launceston;R7;3;BUCKLE UP GINNA;90
491;2024-11-10;07:23;launceston;R7;4;BUCKLE UP ALFIE;92
492;2024-11-10;07:23;launceston;R7;5;LADY JULIETTE;95
493;2024-11-10;07:23;launceston;R7;6;SWEET SUNDOWN;98
494;2024-11-10;07:23;launceston;R7;7;LITTLE ZOOM;92
495;2024-11-10;07:23;launceston;R7;8;BUCKLE UP MILES;88
496;2024-11-10;07:23;launceston;R7;9;GRACIE FLYER;
497;2024-11-10;07:23;launceston;R7;10;LANGLEY FLYER;
498;2024-11-10;07:48;launceston;R8;1;TACO TIME;94
499;2024-11-10;07:48;launceston;R8;2;FOSSIL BLUFF;84
500;2024-11-10;07:48;launceston;R8;3;LOVE IS GONE;95
501;2024-11-10;07:48;launceston;R8;4;DARRYL'S CHOICE;87
502;2024-11-10;07:48;launceston;R8;5;LOVE AGAIN;90
503;2024-11-10;07:48;launceston;R8;6;CROSS THE RIVER;88
504;2024-11-10;07:48;launceston;R8;7;MR. FAHRENHEIT;100
505;2024-11-10;07:48;launceston;R8;8;PACO;78
506;2024-11-10;07:48;launceston;R8;9;BLACKWOOD JOHNNY;
507;2024-11-10;08:13;launceston;R9;1;MRS. FENCER;69
508;2024-11-10;08:13;launceston;R9;2;HYPER FORCE;77
509;2024-11-10;08:13;launceston;R9;3;BIG TEXAN;74
510;2024-11-10;08:13;launceston;R9;4;I'VE GOT SPARK;100
511;2024-11-10;08:13;launceston;R9;5;HEY LULU;76
512;2024-11-10;08:13;launceston;R9;6;DEWANA DREAM;66
513;2024-11-10;08:13;launceston;R9;7;BOWSER BOY;70
514;2024-11-10;08:13;launceston;R9;8;BLACKPOOL ARIES;74
515;2024-11-10;08:13;launceston;R9;9;KRANJI;
516;2024-11-10;08:13;launceston;R9;10;RUSTY PLOUGHMAN;
517;2024-11-10;08:34;launceston;R10;1;WYNBURN BLONDIE;93
518;2024-11-10;08:34;launceston;R10;2;DEWANA GEM;81
519;2024-11-10;08:34;launceston;R10;3;HOTSHOT HOLLY;74
520;2024-11-10;08:34;launceston;R10;4;HARDEN UP JOHNNY;100
521;2024-11-10;08:34;launceston;R10;5;DEWANA MILO;85
522;2024-11-10;08:34;launceston;R10;6;MOVE YOUR FEET;83
523;2024-11-10;08:34;launceston;R10;7;SICK BUBBLEGUM;84
524;2024-11-10;08:34;launceston;R10;8;SAINT ZAC;92
525;2024-11-10;08:34;launceston;R10;9;DAZZLING JETT;
526;2024-11-10;04:51;maitland;R1;1;RAMBLIN' ETHICS;73
527;2024-11-10;04:51;maitland;R1;2;WHISKEY RED;82
528;2024-11-10;04:51;maitland;R1;3;VACANT BOX;
529;2024-11-10;04:51;maitland;R1;4;PROBABLY DO;97
530;2024-11-10;04:51;maitland;R1;5;CHATHAM ROSE;77
531;2024-11-10;04:51;maitland;R1;6;VACANT BOX;
532;2024-11-10;04:51;maitland;R1;7;TARAWI ABBIE;83
533;2024-11-10;04:51;maitland;R1;8;RED DIGGER;100
534;2024-11-10;05:10;maitland;R2;1;HAMINGJA ERIK;91
535;2024-11-10;05:10;maitland;R2;2;TWO ODD SOCKS;86
536;2024-11-10;05:10;maitland;R2;3;VACANT BOX;
537;2024-11-10;05:10;maitland;R2;4;LIGHTNING BLITZ;100
538;2024-11-10;05:10;maitland;R2;5;RATTLIN' RIOT;70
539;2024-11-10;05:10;maitland;R2;6;VACANT BOX;
540;2024-11-10;05:10;maitland;R2;7;STYLISH CHOICE;74
541;2024-11-10;05:10;maitland;R2;8;SEA SURGE;68
542;2024-11-10;05:33;maitland;R3;1;EDGE GAMBLER;86
543;2024-11-10;05:33;maitland;R3;2;HISTORY'S COMING;100
544;2024-11-10;05:33;maitland;R3;3;ROCKY REEF;91
545;2024-11-10;05:33;maitland;R3;4;MY MOON SHADOW;91
546;2024-11-10;05:33;maitland;R3;5;NOBLE GAMBLER;
547;2024-11-10;05:33;maitland;R3;6;MARLEE STAR;96
548;2024-11-10;05:33;maitland;R3;7;VIGNE UNLEASHED;87
549;2024-11-10;05:33;maitland;R3;8;BOLD GAMBLER;95
550;2024-11-10;05:55;maitland;R4;1;RIPPER LANE;100
551;2024-11-10;05:55;maitland;R4;2;KINGSLEY;92
552;2024-11-10;05:55;maitland;R4;3;STONEWASHED;88
553;2024-11-10;05:55;maitland;R4;4;ASH TRAY CHANGE;98
554;2024-11-10;05:55;maitland;R4;5;FERNANDO DUSTY;92
555;2024-11-10;05:55;maitland;R4;6;LINDA'S RUM;87
556;2024-11-10;05:55;maitland;R4;7;OUR CHINA RED;99
557;2024-11-10;05:55;maitland;R4;8;LAMIA STUD;91
558;2024-11-10;05:55;maitland;R4;9;SAGE SHEREE;
559;2024-11-10;06:17;maitland;R5;1;MADE IN LONDON;87
560;2024-11-10;06:17;maitland;R5;2;JET BOOTS TOMMY;100
561;2024-11-10;06:17;maitland;R5;3;VIGNE DELANEY;83
562;2024-11-10;06:17;maitland;R5;4;KIARNI BLACK ACE;79
563;2024-11-10;06:17;maitland;R5;5;LEAD FOOT LARRY;98
564;2024-11-10;06:17;maitland;R5;6;CHANCE MODEL;100
565;2024-11-10;06:17;maitland;R5;7;RATTLIN' BYE;87
566;2024-11-10;06:17;maitland;R5;8;TARZAN TEDDY;93
567;2024-11-10;06:17;maitland;R5;9;SAGE SHEREE;
568;2024-11-10;06:39;maitland;R6;1;RITZA KEN;99
569;2024-11-10;06:39;maitland;R6;2;BOOM BOOM TOMMY;90
570;2024-11-10;06:39;maitland;R6;3;ATHENA MISS;75
571;2024-11-10;06:39;maitland;R6;4;RITZA BENJI;95
572;2024-11-10;06:39;maitland;R6;5;BUSTER MILLER;76
573;2024-11-10;06:39;maitland;R6;6;BUMPY BLUE;84
574;2024-11-10;06:39;maitland;R6;7;GREAT NORTH;87
575;2024-11-10;06:39;maitland;R6;8;ZIPPING KIMMICH;100
576;2024-11-10;07:01;maitland;R7;1;SPEEDY ETHICS;
577;2024-11-10;07:01;maitland;R7;2;PREMIER MAC;95
578;2024-11-10;07:01;maitland;R7;3;BIG DEL;87
579;2024-11-10;07:01;maitland;R7;4;ROLLS RIPPLE;88
580;2024-11-10;07:01;maitland;R7;5;MUSTANG SHERRY;86
581;2024-11-10;07:01;maitland;R7;6;NOON DAY SUN;79
582;2024-11-10;07:01;maitland;R7;7;SPEEDY HOUDINI;87
583;2024-11-10;07:01;maitland;R7;8;IDENTITY UNKNOWN;100
584;2024-11-10;07:01;maitland;R7;9;KIARNI TERROR;
585;2024-11-10;07:01;maitland;R7;10;PARK KEY POP;
586;2024-11-10;07:26;maitland;R8;1;CASSIDY BOY;100
587;2024-11-10;07:26;maitland;R8;2;KIARNI BOLT;91
588;2024-11-10;07:26;maitland;R8;3;KYZA NISMO;87
589;2024-11-10;07:26;maitland;R8;4;BLUE SUPREME;89
590;2024-11-10;07:26;maitland;R8;5;ENGINEERED KAOS;84
591;2024-11-10;07:26;maitland;R8;6;MULWEE GLENN;79
592;2024-11-10;07:26;maitland;R8;7;JERRY'S MATE;85
593;2024-11-10;07:26;maitland;R8;8;KINGSTON TRICK;96
594;2024-11-10;07:26;maitland;R8;9;PARK KEY POP;
595;2024-11-10;07:26;maitland;R8;10;RITZA SHAME;
596;2024-11-10;07:51;maitland;R9;1;BEERS AND BANTER;100
597;2024-11-10;07:51;maitland;R9;2;SILVER TIARA;71
598;2024-11-10;07:51;maitland;R9;3;TOXIC LABEL;83
599;2024-11-10;07:51;maitland;R9;4;SPECIAL STYLE;91
600;2024-11-10;07:51;maitland;R9;5;SHACK UP BEAST;91
601;2024-11-10;07:51;maitland;R9;6;ADORABLE BELLA;78
602;2024-11-10;07:51;maitland;R9;7;BIN NIGHT;83
603;2024-11-10;07:51;maitland;R9;8;PROUD CHOICE;84
604;2024-11-10;07:51;maitland;R9;9;PARK KEY POP;
605;2024-11-10;07:51;maitland;R9;10;RITZA SHAME;
606;2024-11-10;08:12;maitland;R10;1;STOCK'S GIFT;97
607;2024-11-10;08:12;maitland;R10;2;DIRTY DANCING;97
608;2024-11-10;08:12;maitland;R10;3;BIG SHOT;100
609;2024-11-10;08:12;maitland;R10;4;DEB'S PISTOL;79
610;2024-11-10;08:12;maitland;R10;5;RED OPAL;90
611;2024-11-10;08:12;maitland;R10;6;SMOOTH GAMBLER;
612;2024-11-10;08:12;maitland;R10;7;LIGHTNING JENNY;78
613;2024-11-10;08:12;maitland;R10;8;READY TO RATTLE;86
614;2024-11-10;08:12;maitland;R10;9;RITZA SHAME;78
615;2024-11-10;08:12;maitland;R10;10;KIARNI TERROR;
616;2024-11-10;08:37;maitland;R11;1;SEA SHINE;84
617;2024-11-10;08:37;maitland;R11;2;SMOKING HOT;92
618;2024-11-10;08:37;maitland;R11;3;ELUSIVE LENNY;90
619;2024-11-10;08:37;maitland;R11;4;STEADY;100
620;2024-11-10;08:37;maitland;R11;5;ANNA'S RACER;87
621;2024-11-10;08:37;maitland;R11;6;HURRICANE YOYO;85
622;2024-11-10;08:37;maitland;R11;7;BILL'S MATE;90
623;2024-11-10;08:37;maitland;R11;8;ZIPPING ELIZA;84
624;2024-11-10;08:37;maitland;R11;9;RITZA SHAME;
625;2024-11-10;08:37;maitland;R11;10;KIARNI TERROR;
626;2024-11-10;08:55;maitland;R12;1;SWIFT CHOICE;84
627;2024-11-10;08:55;maitland;R12;2;ELITE CHOICE;81
628;2024-11-10;08:55;maitland;R12;3;VACANT BOX;
629;2024-11-10;08:55;maitland;R12;4;FAT BOY'S CHARM;100
630;2024-11-10;08:55;maitland;R12;5;SPACE GIRL;93
631;2024-11-10;08:55;maitland;R12;6;VACANT BOX;
632;2024-11-10;08:55;maitland;R12;7;TOM'S MATE;92
633;2024-11-10;08:55;maitland;R12;8;HIS ALL THAT;
634;2024-11-10;01:34;northam;R1;1;SHINBONER DAISY;80
635;2024-11-10;01:34;northam;R1;2;DEFIANT PAM;100
636;2024-11-10;01:34;northam;R1;3;TWINKLE TOES NOD;97
637;2024-11-10;01:34;northam;R1;4;KILLER KELLY;99
638;2024-11-10;01:34;northam;R1;5;MULDOON MISS;
639;2024-11-10;01:34;northam;R1;6;ICELANDIC TEARS;89
640;2024-11-10;01:34;northam;R1;7;CYCLONIC NICK;91
641;2024-11-10;01:34;northam;R1;8;SIMPLY ROWDY;89
642;2024-11-10;01:34;northam;R1;9;MRS. GORDON;91
643;2024-11-10;01:54;northam;R2;1;IMPRESS KORDA;95
644;2024-11-10;01:54;northam;R2;2;CHAROS ROYAL;94
645;2024-11-10;01:54;northam;R2;3;CYCLONIC ASHLEY;95
646;2024-11-10;01:54;northam;R2;4;ISLA MCCOOL;88
647;2024-11-10;01:54;northam;R2;5;JAMES KEEPING;100
648;2024-11-10;01:54;northam;R2;6;FOREVER SEVEN;95
649;2024-11-10;01:54;northam;R2;7;AUGUSTA STAR;94
650;2024-11-10;01:54;northam;R2;8;COOTAMUNDRA LAD;99
651;2024-11-10;01:54;northam;R2;9;SO TEMPTING;
652;2024-11-10;01:54;northam;R2;10;SHINBONER TWIST;
653;2024-11-10;02:16;northam;R3;1;VICTIM OF DESIRE;97
654;2024-11-10;02:16;northam;R3;2;SARABI SINCLAIR;95
655;2024-11-10;02:16;northam;R3;3;TWO SPOT MALT;100
656;2024-11-10;02:16;northam;R3;4;GLADIATOR FUN;87
657;2024-11-10;02:16;northam;R3;5;PROM QUEEN FUN;82
658;2024-11-10;02:16;northam;R3;6;ZAC'S THUNDER;95
659;2024-11-10;02:16;northam;R3;7;FLYING VANCE;81
660;2024-11-10;02:16;northam;R3;8;JUBILEE KEEPING;82
661;2024-11-10;02:16;northam;R3;9;WAHOO MONELLI;
662;2024-11-10;02:16;northam;R3;10;HIGH LEVEL;
663;2024-11-10;02:32;northam;R4;1;CONNIE KEEPING;88
664;2024-11-10;02:32;northam;R4;2;TURBO CHARGE;81
665;2024-11-10;02:32;northam;R4;3;VACANT BOX;
666;2024-11-10;02:32;northam;R4;4;HEAD NOISE;100
667;2024-11-10;02:32;northam;R4;5;SEND IT JACK;72
668;2024-11-10;02:32;northam;R4;6;VACANT BOX;
669;2024-11-10;02:32;northam;R4;7;GIGI ALICE;79
670;2024-11-10;02:32;northam;R4;8;CLAIRE KEEPING;78
671;2024-11-10;02:50;northam;R5;1;POWER FORWARD;100
672;2024-11-10;02:50;northam;R5;2;FLYING GOLDWING;86
673;2024-11-10;02:50;northam;R5;3;FERRERO FLYER;90
674;2024-11-10;02:50;northam;R5;4;ROGUE RUNNER;95
675;2024-11-10;02:50;northam;R5;5;LIQUOR LICENSE;86
676;2024-11-10;02:50;northam;R5;6;CANYA GULFSTREAM;83
677;2024-11-10;02:50;northam;R5;7;MR. KAMBOSOS;79
678;2024-11-10;02:50;northam;R5;8;COMMANDER MACK;83
679;2024-11-10;02:50;northam;R5;9;CHAROS NOBLE;
680;2024-11-10;02:50;northam;R5;10;KENNY KEEPING;
681;2024-11-10;03:14;northam;R6;1;RAW STEEL;100
682;2024-11-10;03:14;northam;R6;2;SAGANAKI KID;93
683;2024-11-10;03:14;northam;R6;3;VENETIAN;99
684;2024-11-10;03:14;northam;R6;4;AZUERO;97
685;2024-11-10;03:14;northam;R6;5;VACANT BOX;
686;2024-11-10;03:14;northam;R6;6;MARKOV;98
687;2024-11-10;03:14;northam;R6;7;WISE KOONAC;91
688;2024-11-10;03:14;northam;R6;8;I'M UPSTAIRS;97
689;2024-11-10;03:37;northam;R7;1;SUN DRIFTER;95
690;2024-11-10;03:37;northam;R7;2;POPPY TAHLEIA;94
691;2024-11-10;03:37;northam;R7;3;NOT AN OPTION;96
692;2024-11-10;03:37;northam;R7;4;MAKING IT RAIN;88
693;2024-11-10;03:37;northam;R7;5;ALL ABOUT QUARTZ;100
694;2024-11-10;03:37;northam;R7;6;CISCO RIPPLE;91
695;2024-11-10;03:37;northam;R7;7;ASTRAL FUN;79
696;2024-11-10;03:37;northam;R7;8;SIMPLY PRESTO;86
697;2024-11-10;03:37;northam;R7;9;GOOD AS HELL;
698;2024-11-10;03:37;northam;R7;10;BONNIE RICO;
699;2024-11-10;03:56;northam;R8;1;BECAUSE OF YOU;92
700;2024-11-10;03:56;northam;R8;2;TRUNKEY JENNINGS;98
701;2024-11-10;03:56;northam;R8;3;DOZER CAN BROWSE;93
702;2024-11-10;03:56;northam;R8;4;ALL ABOUT MARBLE;85
703;2024-11-10;03:56;northam;R8;5;FRANTIC PHYLLIS;100
704;2024-11-10;03:56;northam;R8;6;BUSTER MOON;72
705;2024-11-10;03:56;northam;R8;7;CANYA BON BON;97
706;2024-11-10;03:56;northam;R8;8;MAXWELL SMART;98
707;2024-11-10;04:11;northam;R9;1;ESSENTIAL CHOICE;
708;2024-11-10;04:11;northam;R9;2;ZONE DEFENSE;95
709;2024-11-10;04:11;northam;R9;3;KEY MOMENT;84
710;2024-11-10;04:11;northam;R9;4;KEVIN'S WAY;84
711;2024-11-10;04:11;northam;R9;5;TRUNKEY REBEL;89
712;2024-11-10;04:11;northam;R9;6;TOUCH OF TOMMY;94
713;2024-11-10;04:11;northam;R9;7;SIMPLICITY;100
714;2024-11-10;04:11;northam;R9;8;FIRE FLY TOUKLEY;91
715;2024-11-10;04:11;northam;R9;9;SUPER PUMPED;
716;2024-11-10;04:11;northam;R9;10;CANDLELIGHT JAZZ;85
717;2024-11-10;04:26;northam;R10;1;CHAROS LEGEND;100
718;2024-11-10;04:26;northam;R10;2;EVIE MALT;89
719;2024-11-10;04:26;northam;R10;3;EL SALVADOR;89
720;2024-11-10;04:26;northam;R10;4;LIL MIKI BREEZE;93
721;2024-11-10;04:26;northam;R10;5;QUID BROTHER;97
722;2024-11-10;04:26;northam;R10;6;IMPRESS KOEPKA;87
723;2024-11-10;04:26;northam;R10;7;CHEDDAR MONELLI;93
724;2024-11-10;04:26;northam;R10;8;ALL ABOUT SLATE;91
725;2024-11-10;04:26;northam;R10;9;SON OF FRANKIE;
726;2024-11-10;04:26;northam;R10;10;TICK TICK TICK;
727;2024-11-10;04:49;northam;R11;1;SHIMA DREAM;100
728;2024-11-10;04:49;northam;R11;2;EUGENIUS;87
729;2024-11-10;04:49;northam;R11;3;VACANT BOX;
730;2024-11-10;04:49;northam;R11;4;STORM ALERT;93
731;2024-11-10;04:49;northam;R11;5;STARLIGHT ARIEL;92
732;2024-11-10;04:49;northam;R11;6;VACANT BOX;
733;2024-11-10;04:49;northam;R11;7;TRUNKEY MAY;87
734;2024-11-10;04:49;northam;R11;8;RARE SPEED;98
735;2024-11-10;05:14;northam;R12;1;RANGER RICKSEN;98
736;2024-11-10;05:14;northam;R12;2;BEER THANKS;99
737;2024-11-10;05:14;northam;R12;3;GUESS WHY;91
738;2024-11-10;05:14;northam;R12;4;WIZARD'S NERO;97
739;2024-11-10;05:14;northam;R12;5;SIMPLY BEAT THAT;78
740;2024-11-10;05:14;northam;R12;6;SHE'S ALL RIGHT;93
741;2024-11-10;05:14;northam;R12;7;GOOD HANDLES;100
742;2024-11-10;05:14;northam;R12;8;RIPPLE RHYTHM;92
743;2024-11-10;05:14;northam;R12;9;WAHOO MONELLI;
744;2024-11-10;05:14;northam;R12;10;HIGH LEVEL;
745;2024-11-10;04:18;nowra;R1;1;FIRE FLY JEWEL;
746;2024-11-10;04:18;nowra;R1;2;AMMY'S BOY;100
747;2024-11-10;04:18;nowra;R1;3;BOLD CHARLM;88
748;2024-11-10;04:18;nowra;R1;4;BLACK TIARA;81
749;2024-11-10;04:18;nowra;R1;5;SKEDADDLE BOSS;92
750;2024-11-10;04:18;nowra;R1;6;WHITE SECRET;87
751;2024-11-10;04:18;nowra;R1;7;CHILL OUT CHICK;82
752;2024-11-10;04:18;nowra;R1;8;MACGUFFIN;91
753;2024-11-10;04:18;nowra;R1;9;FLAWLESS ETHICS;
754;2024-11-10;04:18;nowra;R1;10;SMART BLUE;
755;2024-11-10;04:38;nowra;R2;1;CORLESS A LEADER;83
756;2024-11-10;04:38;nowra;R2;2;ALACRITY RILED;86
757;2024-11-10;04:38;nowra;R2;3;ASTON HALSEY;86
758;2024-11-10;04:38;nowra;R2;4;BLAZING MAX;93
759;2024-11-10;04:38;nowra;R2;5;QUEEN CHARLM;91
760;2024-11-10;04:38;nowra;R2;6;ELITE CHARLM;95
761;2024-11-10;04:38;nowra;R2;7;ALACRITY BELLE;100
762;2024-11-10;04:38;nowra;R2;8;SHE'S SO JOSIE;83
763;2024-11-10;04:38;nowra;R2;9;BARACK EXPRESS;
764;2024-11-10;04:38;nowra;R2;10;SKEDADDLE NIKKI;
765;2024-11-10;05:01;nowra;R3;1;PAYING THE PRICE;100
766;2024-11-10;05:01;nowra;R3;2;ROCKSTAR ATONIA;
767;2024-11-10;05:01;nowra;R3;3;VACANT BOX;
768;2024-11-10;05:01;nowra;R3;4;NICKO JACK;100
769;2024-11-10;05:01;nowra;R3;5;GYPSY RICO;89
770;2024-11-10;05:01;nowra;R3;6;VACANT BOX;
771;2024-11-10;05:01;nowra;R3;7;CATCH A COBRA;94
772;2024-11-10;05:01;nowra;R3;8;ROSES RING;91
773;2024-11-10;05:20;nowra;R4;1;TRIXIE MAHACK;100
774;2024-11-10;05:20;nowra;R4;2;BEATS PER MINUTE;
775;2024-11-10;05:20;nowra;R4;3;ALBATROSS MARCH;75
776;2024-11-10;05:20;nowra;R4;4;KRAMER'S MEMORY;99
777;2024-11-10;05:20;nowra;R4;5;SOUL OPTIC;71
778;2024-11-10;05:20;nowra;R4;6;ANY MORE CARAMEL;81
779;2024-11-10;05:20;nowra;R4;7;RAVEN NIGEL;
780;2024-11-10;05:20;nowra;R4;8;ROCKSTAR GHAN;
781;2024-11-10;05:42;nowra;R5;1;TOPPER BLOOM;99
782;2024-11-10;05:42;nowra;R5;2;SMOOTH AVENGER;93
783;2024-11-10;05:42;nowra;R5;3;IF YOU SAY;79
784;2024-11-10;05:42;nowra;R5;4;SISKA ROY;100
785;2024-11-10;05:42;nowra;R5;5;VACANT BOX;
786;2024-11-10;05:42;nowra;R5;6;SISKA LUCY;99
787;2024-11-10;05:42;nowra;R5;7;ON THE RAZZLE;95
788;2024-11-10;05:42;nowra;R5;8;CANDY CORVETTE;86
789;2024-11-10;06:08;nowra;R6;1;SHAWSHANK RED;93
790;2024-11-10;06:08;nowra;R6;2;IMPLODING MIRAGE;99
791;2024-11-10;06:08;nowra;R6;3;ATHLETE TICK;
792;2024-11-10;06:08;nowra;R6;4;WILL VILLE;77
793;2024-11-10;06:08;nowra;R6;5;SLINGSHOT LAYLA;70
794;2024-11-10;06:08;nowra;R6;6;JUST STOP IT;
795;2024-11-10;06:08;nowra;R6;7;MAGIC MILO;
796;2024-11-10;06:08;nowra;R6;8;CUMBRIA PETE;100
797;2024-11-10;06:08;nowra;R6;9;RUBY VILLE;66
798;2024-11-10;06:30;nowra;R7;1;NICKO ACE;90
799;2024-11-10;06:30;nowra;R7;2;MISS CHERRY;96
800;2024-11-10;06:30;nowra;R7;3;ZORA VILLE;83
801;2024-11-10;06:30;nowra;R7;4;WIDE LENS;74
802;2024-11-10;06:30;nowra;R7;5;REST ASSURED;90
803;2024-11-10;06:30;nowra;R7;6;SKEDADDLE MAPLE;87
804;2024-11-10;06:30;nowra;R7;7;DYNAMIC TRIO;100
805;2024-11-10;06:30;nowra;R7;8;SHADES OF ROSE;89
806;2024-11-10;06:30;nowra;R7;9;RUBY VILLE;
807;2024-11-10;06:52;nowra;R8;1;SHE GOT MOMENTUM;95
808;2024-11-10;06:52;nowra;R8;2;CUMBRIA TESS;89
809;2024-11-10;06:52;nowra;R8;3;CARTEL MODEL;92
810;2024-11-10;06:52;nowra;R8;4;NICKO QUEEN;100
811;2024-11-10;06:52;nowra;R8;5;EVERYONE'S ANGEL;72
